Question,Answer
Fee Collections_Upload fee payments,"Greetings from MyClassboard. In order to upload the existing fee payments, Please download excel sheet from the following link, fill in the data and send it back to us at the earliest. (Kindly do not edit any fields) Our team will make sure that they are uploaded with accuracy. https://www.myclassboard.com/onboarding/Fee-upload-data-format.csv Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
Fee Collections_How can I configure an online payment gateway to enable my users to pay online?,"Greetings from MyClassboard. We are happy to inform you that the Fee Collections tool is ready now and can be integrated with a payment gateway. In order to facilitate the online payment option for parents, we would request you to complete the formalities as mentioned below. 1. Sign the Payment gateway integration agreement 2. Cancelled Cheque 3. PAN Card of the Institution 4. Signing Authority PAN Card 5. Address Proof of the School Please note that this process takes 2-4 working days. We appreciate your co-operation. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
Fee Collections_Sending Login Details To Users,"Greetings from MyClassboard. The payment gateway has been successfully integrated and it is ready to receive payments. Hence, we request your consent to share the login details with users. Please send your consent by replying to this email. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
Fee Collections_How do I enable my users to pay fee online through my school website?,"Greetings from MyClassboard. We are now ready to add Pay Now button on your school’s website, that will enable parents to make payments at their convenience. You may also generate online receipts instantly. Our team will get in touch with your web designer shortly in order to set up the same. Please ensure that the required information is provided by him/her. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
Admissions_Upload Existing Enquiries,"Greetings from MyClassboard. To get started with Admissions module, please fill in the existing enquiries details in the attached document and send it back to us. We will make sure that they are uploaded accurately. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
Admissions_Create Forms,"Greetings from MyClassboard. As the next step, we would require the preferred fields in order to create the following forms: 1. Enquiry Form 2. Admissions Form 3. Application Form Your quick response is appreciated. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
Admissions_Apply Online button on your website,"Greetings from MyClassboard. We are now ready to add Apply Online weblink on your school website to enable online enquiries/applications / admissions. Our team will get in touch with your web designer shortly. Please ensure that the required information is provided by him/her accordingly. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
Admissions_Sending Login Details To Users,"Greetings from MyClassboard. The forms are created successfully and they are ready to use. Hence, we request your consent to share the login details with users. Please send your consent by replying to this email. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
School Onboarding_organization creation and system setup,"Greetings from MyClasssboard. We would like to extend our warm welcome for joining MCB family. We are committed to deliver delightful customer experience through your journey with us. Our customer success experts will be in constant touch with you in order to ensure smooth transition/implementation of MCB at <<school Name>>. As a first step, we would like to inform you that your organization creation and setup has been successfully completed. Congratulations and Welcome onboard. Best Regards, MCB Support Team"
School Messenger_Training Users,"Greetings from MyClassboard. You are all set to use the School Messenger module. It’s time to train the users. Please share a convenient date and time for training the staff/users. The training will require at least 2 hours of their time. The motto of this training session is to create awareness of the tool and make them comfortable using the same. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
Admissions_Training Users,"Greetings from MyClassboard. Congratulations! You are all set to use the Admissions module. It’s time to train the users. Please share a convenient date and time for a quick 30 min session. This session is intended to onboard the staff on using the Admissions module effectively. We appreciate your quick response. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
Fee Collections_Training Users,"Greetings from MyClassboard. Congratulations! You are all set to use the Fee Collections module. It’s time to train the users. Please share a convenient date and time for a 2-hour session. The training is aimed at explaining the module features in detail and getting the users comfortable in using the same. We appreciate your quick response. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
Grade Book_Exam structure creation,"Greetings from MyClassboard. To get started with Grade Book, please provide the details listed below for creating examination structure and set up for test creation and marks entry: · Academic Terms · Grade wise Examination structure · Grading Scale for scholastic and co-sccholastic exams · Periodicity of the exams · Scholastic Skills · Co-Scholastic Skills Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
Grade Book_Progress Report Card Configuration,"Greetings from MyClassboard. As the next step, we would require Report card formats as per the following categories: 1. Evaluation/ Assessment wise 2. Term end 3. Overall Your quick response is appreciated. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
Grade Book Module Training for Users,"Greetings from MyClassboard. Congratulations! You are all set to use the Grade Book module. It’s time to train the users. Please share a convenient date and time for a 2-hour session. The training is aimed at explaining the module features in detail and getting the users comfortable in using the same. We appreciate your quick response. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
HR & Payroll_Salary Settings,"Greetings from MyClassboard. To get started with HR & Payroll, please provide salary structure (Consolidated / Scale) being followed in your institution. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
HR & Payroll_Staff Leave Configuration,"Greetings from MyClassboard. As the next step, we would require the staff leaves criteria. 1. Leave types 2. Department wise no of leaves allotted Your quick response is appreciated. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
HR & Payroll_Staff Attendance Configuration,"Greetings from MyClassboard. In order to set up the staff attendance, pls provide the following details. 1. No of Sessions 2. No of late arrivals allowed 3. Days to consider as days for late arrivals as per the criteria Your quick response is appreciated. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
HR & Payroll_Payslip Configuration,"Greetings from MyClassboard. As the next step, we would need the format of your employees payslip. Please mail us a copy of the same at the earliest. Please note that the payslip configuration takes considerable time for our team to set it up for you. Your patience is appreciated in this regard. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
HR & Payroll Module Training for Users,"Greetings from MyClassboard. Congratulations! You are all set to use the HR & Payroll module. It’s time to train the users. Please share a convenient date and time for a 2-hour session. The training is aimed at explaining the module features in detail and getting the users comfortable in using the same. We appreciate your quick response. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
Transport_Bus Route & Stops Creation,"Greetings from MyClassboard. To get started with Transport, please provide the following details 1. Bus Routes 2. Stops of each bus route Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
Transport_Assign Students to Bus Stops,"Greetings from MyClassboard. In order to assign students to the bus routes and respective stops pls provide the student data. We will make sure that the students are assigned accurately. A quick response with data is appreciated. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
Transport_Assign Students to Bus Stops,"Greetings from MyClassboard. In order to assign students to the bus routes and respective stops pls provide the student data. We will make sure that the students are assigned accurately. A quick response with data is appreciated. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
Transport Expenses Configuration,"Greetings from MyClassboard. As the next step, we would require details about Type of Expenditures with head and sub head and rules to set for the same. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
Transport_ How can I configure MCB School Bus Tracking Software for my school buses?,"Greetings from MyClassboard. We are happy to inform you that the Transport tool is ready now and can be integrated with a Vehicle Tracking System. In order to facilitate the VTS option for parents, we would request you to complete the formalities as mentioned below. 1. Sign in VTS integration agreement 2. 6 Months subscription charges cheque Please note that this process takes 7 working days. We appreciate your co-operation. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
Transport Module Training for Users,"Greetings from MyClassboard. Congratulations! You are all set to use the Transport module. It’s time to train the users. Please share a convenient date and time for a 2-hour session. The training is aimed at explaining the module features in detail and getting the users comfortable in using the same. We appreciate your quick response. Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
Library_ Library Setup,"Greetings from MyClassboard. To get started with Library, please provide the details of your library structure and stakeholders. 1. Category type 2. Library category 3. Languages 4. Vendors 5. Publishers 6. Fine amount Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
Library_ Collect and Upload Books Details,"Greetings from MyClassboard. As a Next step, would require Library books data so that we can go ahead and upload the same. Please download excel sheet from the following link, fill in the data and send it back to us at the earliest. (Kindly do not edit any fields) https://www.myclassboard.com/studentdetails/LibraryBookInformation.csv Please feel free to contact us on 040 48584444 or reply to this email, should you need any further assistance. Have a wonderful day ahead. Best Regards, MCB Support Team"
Welcome Onboard!,"Hi <First Name>, Greetings from MyClassboard. Firstly, we would like to take this opportunity to thank you for choosing MyClassboard as your preferred technology partner and welcome you to the MCB family. We are on our toes all the time to provide best possible service to every client. In order to ensure seamless transition & implementation of MCB modules within your organisation, we will need few details before beginning the first steps. Pls, download the document from the following link and fill up the data and send it back to us at the earliest possible. This will help us allocate resources accordingly and assist you further. https://www.myclassboard.com/onboarding/School-Onboarding-Template.xlsx Upon receipt of the same, our On-boarding team will communicate back to you with the respective In-charge details for each module and their contact details etc. We shall keep you posted on the progress of the implementation at every step via email/phone calls. Once again thank you for using MyClassboard at Vedanta Educare. Have a wonderful day ahead! P.S.: Kindly send us the school logo as an attachment along with this email. Regards, MyClassboard Support Team"
School Onboarding_ How do I create awareness about MCB among my users using MCB Helpline Stickers?,Creating Awareness about MyClassboard Software using MCB Helpline Stickers
Transport_How do I create awareness about MCB Vehicle Tracking Feature among my users using MCB Bus Stickers?,Creating Awareness about MyClassboard Vehicle Tracking Software using MCB Bus Stickers
Transport_How can I display the information of school bus routes and timings on my school website?,Transport_How can I display the information of school bus routes and timings on my school website?
On Site Support Request - Schedule Confirmation,"Hi <first name>, Greetings from MyClassboard. Based on your recent request for onsite support, we are happy to inform you that the schedule has been confirmed as follows: Support Office Name : Contact Number : Email Id: Dates of Support Approved : From: To: The support officer shall get in touch with you soon. Hope this helps. Please feel free to reply back to this email or call us at 040-48584444, should you need any further assistance. Have a great day ahead. Regards, MCB Support Team"
How to Create a New User on MCB?,"Hi <first name>, Greetings from MyClassboard. Thank you for your recent inquiry on creating new users on MCB. Please follow the steps below: Step 1:- Click on Principal level Access- Select Reports Step 2:- Click on Log Reports Step 3:- Select SMS Delivery Report Step 4:- Select Zone and Branch Step 5:- Select From Date and To Date Step 6:- Select SMS Type Step 7 :- Click Search Hope this helps. Please feel free to reply back to this email or call us at 040-48584444, should you need any further assistance. Have a great day ahead. Best, MCB Support Team"
How to Create Discipline Category?,"Step 1: Log in with system admin credentials. Step 2: Select Discipline from the Home and you will be directed to the Discipline page. Step 4: Select the ""Discipline "" tab and choose ""Create Discipline"" under it. Step 5: Click on the ""Add Discipline"" icon. Step 6:Now add the Name, category Name & Choose Form type as Normal Form or Anti-Bullying Form then save. Step 7: To add the Actions,click on Add Action against the Discipline name Step8: Enter the Action name,Sub CategoryCode, and Negative Marks Deducted (When you enabled Discipline Linked With Gradebook from Discipline Settings) then save Step 9: You can Add Discipline categories provided by MCB default and save"
How To Enter The Discipline/ Code OF Conduct Marks ?,"Step 1: Log in with Principal credentials. Step 2: Select Discipline from the Home and you will be directed to the Discipline page. Step 4: Select the ""Discipline "" tab and choose ""Create Discipline"" under it. Step 5: Search the Student to enter the remarks. Step 6: Select the category Step 7: Enter Remarks to the Category & Select Date and Save. Step 8: Click on View Remarks to view the entered remarks. Click on the Delete icon to delete the remarks"
How does Learning League help the students and parents?,Learning League feature enables the Parents/Students to collaborate in one group to express their opinion on the given topic in the form of likes and comments. This feature promotes peer learning in academic and non-academic areas. Students are exposed to different perceptions on a given topic by debating on the topic given and participate in group discussions. Parents can also participate and help students to extend their learning and set a direction to students thinking. Path: Collaborative Learning Module / Discussions / Learning League
How is Staff work place useful?,"Staff can have conversations on different topics without student’s and parent’s presence. It can be used as an alternative option for private WhatsApp groups maintained by parents, students, and Staff. The group is moderated by the school admin and the conversations are supervised by the teachers and school admin. Path: Communication Module / Discussions / Staff Work place"
"What is a learning league? How does Learning league help Teachers, Students & parents?","Learning League feature enables the staff, students, and parents to collaborate in one group to express their opinion on the given topic in the form of likes and comments. This feature promotes teacher lead discussions and peers learning in academic and non-academic areas. A Student gets personalized feedback on the work submitted and can discuss the topic with the teacher until all misconceptions are cleared through teacher posts. Students are exposed to different perceptions on a given topic by debating on the topic given and participate in group discussions through student posts. Parents can also participate and help students to extend their learning and set a direction to students thinking. In the Learning league created with a group of classes or an individual class, teachers and students can create posts. Teacher posts: Teachers can create topics under the Learning Leagues that are created under General and Subject wise categories. General Topic: The general topic that is created by a teacher is visible all teachers and students of the classes that are assigned to the learning league which is created under the General category. Student can comment on the topic and is visible to the teacher When teacher replies to the comment, is visible to only the student who posted the comment. The general topics can be on non-academic areas like a field trip, annual day, events preparations, etc., Subject Topic: The subject topic created by a subject teacher is visible to themselves, class teacher, and the students who belong to the classes that are assigned to the league which created under Subject Category. Student can comment on the topic and is visible to the teacher When teacher replies to the comment, is visible to only the student who posted the comment. The subject-specific topics could be assignments, worksheets, revision, doubts clarification, etc., Student Posts: Students/parents can now create a topic from their login in the available learning leagues. Topic creation allows text, images, attachments, videos, and files. It can be done from a mobile app or web parent portal. As the topic is created by a student, a notification is triggered to all the participants of the learning league. They can log in, check the topic, and participate in the form of comments and likes. The comments feature allows text, images, attachments, videos, and files. The host of the topic and other participants can like, reply to the comments and topic. Discussions can go on among the students irrespective of the classes that are present in the group. It promotes peer learning; students get exposed to different perceptions. These can be of academic and non-academic related topics. The topics and discussions of students can be accessed by the school admin, but not the teachers. It is an exclusive platform for students to collaborate and learn. School admin can view the comments, likes from his login. Admin can edit the learning leagues, branches, and classes assigned. Admin can also delete the learning leagues and comments if necessary."
How to Create a Learning League?,"Video Tutorial: School admin (System admin or Branch Principal) has to create a learning league for the students/parents to participate. Learning leagues can be created in the following combinations. All Branches /All classes All branches / Selected classes Selected branches/All classes Selected branches/ Selected classes Step 1: Log in to system admin login, click communication module in the modules pallet. Step 2: Click on the Learning League option under the Discussions menu. Step 3: To get the list of existing leagues, choose an academic year, League type as General or Subject wise, and click on Get button. Step 4: To create a new League, Click on the Add League button. Step 5: To create General League – Choose All branches or a specific branch, League type are General, enter the name of the League or choose from the suggested Leagues and click on Save button to create the League. Step 6: Click on the “+” sign to add classes and sections to the league. Step 7: Choose All branches or a specific branch, Choose All classes or a specific class, Choose All sections or a specific section, and Click on Save. Step 8: To edit the League’s name, click on Edit icon against the league. Step 9: Make the changes in the League’s name and click on Save. Please note that the changes can be done only for the Leagues’s name. Step 10: To delete the league, please make sure the assigned branches are deleted. Click on the delete icon to delete. Step 11: Click Yes, to confirm the deletion or No to revert the action. Step 12: To create a subject-specific league – The subject-specific league can be created by choosing one subject for a specific class. To create the league Choose Branch, League type as Subject, Class, and Subject. Choose All sections of the class or a specific section of the class. Enter the League’s Name or choose from suggestions. Click on the Save button to create the league. Step 13: The subject-specific league is created for the selected branch, class, sections, and the subject. Hence we need not assign them separately unlike general league. To Edit or delete the league, click on the respective icon and confirm."
How can a teacher create topic in a learning league? How can a student view posts and comment on it?,"Video Tutorial: How can a Teacher create a Topic? Video Tutorial: How can a Student view or comment on the topic? Creating a topic from teacher login: Step 1: Log in to Class teacher/Staff access with the help of credentials. Visit the Communication module. Step 2: Click on the Learning League option under the Communication menu. Step 3: It will list the available Learning Leagues. Click on the Learning league in which you would like to create the topic. Step 4: Click on Add Topic Option to create the topic. Step 5: Please do the following Enter Topic Name, Description, Click on + sign to add attachments, Select the checkbox if you would like to notify the students on the mobile app about the topic Click on the Post button to create the topic/post. Step 6: To edit or delete the post, click on the respective icons available against the topic name. Please note that posts can be edited until there are no comments posted by students against them. Accessing teacher post and commenting on a post by a student: Step 7: Log in with student login and click on Learning league menu. Step 8: It will list all the learning leagues created for his/her class. Click on the League’s names to view the posts created by the teachers. Please note that students can also create a post in the same league to discuss post among the peer group present in the league. Step 9: You may observe that the selected league is highlighted with blue color. The posts in the leagues are differentiated between teacher and student as Teacher post with yellow and student post with Green color. Step 10: To post the comment on teacher post or a student post, Type in the comment in the comment box and attach the files if required and click on -> button to post the comment. Please note that, once the comment is posted, the student cannot edit or delete it. Teacher replying to the comment: Step 11: Log in to the teacher access level, click on the Communication module, and then Learning league option. Click on the league to view the posts and comments sent by the students. Write the comment in the comment box, attach files if any, and click on Post icon. Step 12: To delete the comment, click on the delete icon against the comment. Creating topics by students in a league: Step 13: Login with student login and click on the Learning league menu. Click on the League’s name in which you would like to create a post. Click on Add topic option which is present at the top right corner. Step 14: Enter the topic name, description, attach files if required, and click on Post. Step 15: The other students present in the group can like the post and comment. Note: Posts created by students are not visible in the teacher’s login. The posts and comments created by students & teachers can be moderated by the school admin. They can be deleted if necessary."
How to generate Learning League report and delete comments and likes of the posts?,"Video Tutorial: How to generate Learning League Report and delete Likes and Comments of a post. Learning league reports can be generated from System admin and branch principal login. The comments and likes moderation can happen through the report. An email alert can also be scheduled for principal and class teachers to understand the overview of the Learning leagues’ usage. Step 1: Log in with system admin or principal login. Visit the Communication module and choose the Learning league from Discussions Menu. Choose the academic year, league type, and click on Get to generate the report. Step 2: This report helps you understand the available Learning leagues along with the branches and classes which are assigned to them. You may export this report to excel by clicking on the excel icon on the top right corner of the report. You can delete the branches only when there are no topics and comments available in the league. You can delete the league, only when there are no branches and classes assigned to the league. Step 3: To view the posts created in the specific league, click on the League’s name Step 4: This report shows a number of topics created, who created, no of participants, comments and likes, comments posted by whom. You can delete the topic, only when there are no comments against the topic. You may export the report to excel by clicking on the excel export icon present on the top right corner. Step 5: To view the comments against a topic, click on the number under the comments column. Step 6: This report helps you understand who had given the comment, comment, and likes details. To delete the comment, click on the delete icon against the comment. You may export the report to excel by clicking on the excel export icon present on the top right corner. To delete the entire learning league, Please follow the sequence mentioned below: Delete the likes and comments of the topics Delete the topics created by students and staff Delete the branches and Classes assigned to the league Delete the Learning League"
How can a Teacher Evaluate an Assignment & Give Marks,Video Tutorial:
How can Students submit online assignment?,"Video Tutorial: Students can submit the assignment from the web portal and mobile app. Step 1: Log in to the MCB Web portal with the student login credentials. Click on the Assignment option on the menu. Step 2: It will list all types of assignments by default. You may filter online by clicking on the online radio button. To submit the answer, click on the Submit Answer option against the exam. Step 3: Write the answer and click on Submit. You can answer in the form of text, insert the image, link, etc. Step 4: Click on View Answer against the submitted Assignment to revisit the answer."
How to create Assignments?,"Video Tutorial: There are two types of Assignments available each one aiming different purpose. 1. Offline Assignment 2. Online Assignment Offline Assignment: Offline Assignment allows you to Post the assignment along with the attachment. You can tag chapter and topic in which the assignment is given. You can set the deadline for the assignment and allot max marks to the assignment. Students can log in and download the assignment and submit it offline in the classroom. Once the teacher evaluates the assignment, she/he can record marks of each student for the assignment. Online Assignment: Online Assignment allows you to compose the assignment from the question bank, allot max marks and the due date for the same. Once the due date is crossed, the assignment is seen as Due date expired and students will not be able to attempt the assignment. Please note that the only the descriptive questions are accepted to create the assignment. You can also directly compose the question and set the word limit. It will add as a new question in the question bank for future use. Once the assignment is created, the student can complete the assignment online as per the word limit set and submit for evaluation. A teacher can log in to her account, check how many students have submitted the assignment, evaluate the assignment submitted by the student and give marks for the same. Create Offline Assignment: Step 1: Login to MCB with Login Credentials, Change the access level to branch. Step 2: Select Communication on the dashboard and you will be directed to the Communication page. Step 3: Click on “Others” on the top bar and select “Give Assignments”. Step 4: Click on “Add Assignments”. Step 5: Choose the Assignment type as Offline Assignment, Class, All Sections or specific sections, All students or specific students, Subject for which you would like to give an assignment, Tag Chapters, and Topics in which you are giving the assignment. Enter the Assignment title, choose Assignment date and Submission date. Enter Max. Marks, Assignment description, attach files if any and click on Save Assignment. Click on the Back button to cancel the assignment creation. To check the saved Assignments, Step 6: Select the class, section & subject then click on Get activities, you will get the saved Assignment. Step 7: The assignments created for the subject are listed date wise. Please note that the assignment created for all students in the Grey color box and the assignment created for a specific student is shown in Blue color box. Find the assignment details within the box. To edit the saved Assignments, Step 8: Click on Edit icon to edit the assignment. Step 9: Make the necessary corrections and click on update assignment to save the changes or Back button to cancel the changes. To edit the delete the Assignment, Step 10: Click on delete icon and confirm the deletion by clicking on Yes. If you click on No, assignment deletion will be canceled. To enter marks, Step 11: Click on Arrow mark. Step 12: Enter marks and click on Save. Please make sure that marks are not greater than the max marks set for the assignment. Create Online Assignment: Step 13: Choose the Assignment type as Online Assignment, Class, All Sections or specific sections, All students or specific students, Subject for which you would like to give an assignment, Choose enter manually option to enter a question, Tag Chapters, and Topics in which you are giving the assignment. Enter the Assignment title, choose Assignment date and Submission date. Enter Max. Marks, Assignment description, attach files if any, enter word limit for the student to write the answer and click on Save Assignment. Click on the Back button to cancel the assignment creation. If you want to choose a question from the question bank, it will list the questions available in the question bank for the subject. Choose the question and click on Ok. Please note that the questions created under descriptive/essay type only would list here for creating an assignment. To check the saved Assignments, Step 14: Select the class, section & subject then click on Get activities, you will get the saved Assignment. Step 15: The assignments created for the subject are listed date wise. Please note that the assignment created for all students in the Grey color box and the assignment created for a specific student is shown in Blue color box. Find the assignment details within the box. The assignment created as Online Assignment would be labeled as Online in the box. Please note that the edit option for online assignments is not available. If you need any change in the assignment, you need to delete the assignment before any student attempts it. To delete the assignment, Step 16: Click on Delete icon and confirm the message. To enter Marks, Step 17: Click on Arrow mark. Step 18: Click on Yes to view the assignment submitted by a student. Step 19: Enter marks and click on Save. Please make sure that marks are not greater than the max marks set for the assignment."
